x_key,value_native,native_unit,value_mm,pixel_x_page,pixel_y_page,pixel_y_corrected,flagged
1,788.4031,unknown,,792.0,346.0,346.0,false
2,820.7307,unknown,,795.5,337.0,337.0,false
3,849.4663,unknown,,798.5,329.0,329.0,false
4,883.5898,unknown,,802.0,319.5,319.5,false
5,897.9575,unknown,,805.0,315.5,315.5,false
6,901.5495,unknown,,808.5,314.5,314.5,false
7,921.3052,unknown,,811.5,309.0,309.0,false
8,971.5925,unknown,,815.0,295.0,295.0,false
9,1020.0838,unknown,,818.0,281.5,281.5,false
10,1084.7388,unknown,,821.5,263.5,263.5,false
11,1115.2704,unknown,,824.5,255.0,255.0,false
12,1129.6382,unknown,,828.0,251.0,251.0,false
13,1151.1899,unknown,,831.0,245.0,245.0,false
14,1192.4973,unknown,,834.5,233.5,233.5,false
15,1221.2328,unknown,,837.5,225.5,225.5,false
16,1257.1523,unknown,,841.0,215.5,215.5,false
17,1291.2758,unknown,,844.0,206.0,206.0,false
18,1354.1349,unknown,,847.5,188.5,188.5,false
19,1400.8302,unknown,,850.5,175.5,175.5,false
20,1470.8732,unknown,,854.0,156.0,156.0,false
21,1503.2007,unknown,,857.0,147.0,147.0,false
22,1503.2007,unknown,,860.5,147.0,147.0,false
23,1497.8128,unknown,,863.5,148.5,148.5,false
24,1485.2410,unknown,,867.0,152.0,152.0,false
25,1476.2611,unknown,,870.0,154.5,154.5,false
26,1465.4853,unknown,,873.5,157.5,157.5,false
27,1449.3215,unknown,,877.0,162.0,162.0,false
28,1424.1779,unknown,,880.0,169.0,169.0,false
29,1400.8302,unknown,,883.5,175.5,175.5,false
30,1393.6463,unknown,,886.5,177.5,177.5,false
31,1402.6262,unknown,,890.0,175.0,175.0,false
32,1408.0141,unknown,,893.0,173.5,173.5,false
33,1386.4624,unknown,,896.5,179.5,179.5,false
34,1375.6866,unknown,,899.5,182.5,182.5,false
35,1373.8906,unknown,,903.0,183.0,183.0,false
36,1368.5027,unknown,,906.0,184.5,184.5,false
37,1350.5429,unknown,,909.5,189.5,189.5,false
38,1334.3792,unknown,,912.5,194.0,194.0,false
39,1316.4194,unknown,,916.0,199.0,199.0,false
40,1303.8476,unknown,,919.0,202.5,202.5,false
41,1289.4798,unknown,,922.5,206.5,206.5,false
42,1262.5402,unknown,,925.5,214.0,214.0,false
43,1199.6811,unknown,,929.0,231.5,231.5,false
44,1156.5778,unknown,,932.0,243.5,243.5,false
45,1104.4945,unknown,,935.5,258.0,258.0,false
46,1039.8395,unknown,,938.5,276.0,276.0,false
47,939.2649,unknown,,942.0,304.0,304.0,false
48,883.5898,unknown,,945.0,319.5,319.5,false
49,836.8944,unknown,,948.5,332.5,332.5,false
50,806.3629,unknown,,951.5,341.0,341.0,false
51,763.2595,unknown,,955.0,353.0,353.0,false
52,711.1763,unknown,,958.5,367.5,367.5,false
53,657.2971,unknown,,961.5,382.5,382.5,false
54,596.2340,unknown,,965.0,399.5,399.5,false
55,547.7427,unknown,,968.0,413.0,413.0,false
56,465.1279,unknown,,971.5,436.0,436.0,false
57,425.6164,unknown,,974.5,447.0,447.0,false
58,377.1251,unknown,,978.0,460.5,460.5,false
59,339.4097,unknown,,981.0,471.0,471.0,false
60,290.9184,unknown,,984.5,484.5,484.5,false
61,254.9989,unknown,,987.5,494.5,494.5,false
62,219.0795,unknown,,991.0,504.5,504.5,false
63,186.7519,unknown,,994.0,513.5,513.5,false
64,152.6284,unknown,,997.5,523.0,523.0,false
65,134.6687,unknown,,1000.5,528.0,528.0,false
66,116.7089,unknown,,1004.0,533.0,533.0,false
67,104.1371,unknown,,1007.0,536.5,536.5,false
68,95.1573,unknown,,1010.5,539.0,539.0,false
69,,,,,,,true
70,61.0338,unknown,,1017.0,548.5,548.5,false
71,50.2579,unknown,,1020.0,551.5,551.5,false
72,41.2781,unknown,,1023.5,554.0,554.0,false
73,35.8901,unknown,,1026.5,555.5,555.5,false
74,34.0942,unknown,,1030.0,556.0,556.0,false
75,41.2781,unknown,,1033.0,554.0,554.0,false
76,41.2781,unknown,,1035.0,554.0,554.0,false
77,,,,,,,true
78,,,,,,,true
79,,,,,,,true
80,,,,,,,true
81,,,,,,,true
82,,,,,,,true
83,,,,,,,true
84,,,,,,,true
85,,,,,,,true
86,,,,,,,true
87,,,,,,,true
88,-30.5609,unknown,,1075.5,574.0,574.0,false
89,-32.3569,unknown,,1079.0,574.5,574.5,false
90,-30.5609,unknown,,1082.0,574.0,574.0,false
91,-30.5609,unknown,,1084.0,574.0,574.0,false
92,,,,,,,true
93,,,,,,,true
94,,,,,,,true
95,,,,,,,true
96,,,,,,,true
97,,,,,,,true
98,,,,,,,true
99,,,,,,,true
100,,,,,,,true
