x_key,value_native,native_unit,value_mm,pixel_x_page,pixel_y_page,pixel_y_corrected,flagged
1844-07-01,2.7526,bavarian_foot,803.38,27.0,320.5,320.5,false
1844-07-02,3.1684,bavarian_foot,924.73,49.5,281.0,281.0,false
1844-07-03,3.9421,bavarian_foot,1150.54,72.0,207.5,207.5,false
1844-07-04,4.3210,bavarian_foot,1261.14,94.5,171.5,171.5,false
1844-07-05,4.4947,bavarian_foot,1311.83,116.5,155.0,155.0,false
1844-07-06,4.5526,bavarian_foot,1328.72,139.0,149.5,149.5,false
1844-07-07,4.6737,bavarian_foot,1364.05,161.5,138.0,138.0,false
1844-07-08,4.7474,bavarian_foot,1385.56,184.0,131.0,131.0,false
1844-07-09,4.6000,bavarian_foot,1342.55,206.0,145.0,145.0,false
1844-07-10,4.5631,bavarian_foot,1331.80,228.5,148.5,148.5,false
1844-07-11,5.1421,bavarian_foot,1500.77,251.0,93.5,93.5,false
1844-07-12,4.5421,bavarian_foot,1325.65,273.5,150.5,150.5,false
1844-07-13,4.1947,bavarian_foot,1224.27,296.0,183.5,183.5,false
1844-07-14,4.0421,bavarian_foot,1179.72,318.0,198.0,198.0,false
1844-07-15,4.0263,bavarian_foot,1175.11,340.5,199.5,199.5,false
1844-07-16,4.0316,bavarian_foot,1176.65,363.0,199.0,199.0,false
1844-07-17,4.0631,bavarian_foot,1185.87,385.5,196.0,196.0,false
1844-07-18,4.2053,bavarian_foot,1227.34,407.5,182.5,182.5,false
1844-07-19,4.2737,bavarian_foot,1247.31,430.0,176.0,176.0,false
1844-07-20,4.3895,bavarian_foot,1281.10,452.5,165.0,165.0,false
1844-07-21,4.6421,bavarian_foot,1354.84,475.0,141.0,141.0,false
1844-07-22,4.8000,bavarian_foot,1400.92,497.5,126.0,126.0,false
1844-07-23,4.7789,bavarian_foot,1394.78,519.5,128.0,128.0,false
1844-07-24,4.5053,bavarian_foot,1314.90,542.0,154.0,154.0,false
1844-07-25,3.9842,bavarian_foot,1162.82,564.5,203.5,203.5,false
1844-07-26,3.5053,bavarian_foot,1023.04,587.0,249.0,249.0,false
1844-07-27,3.0684,bavarian_foot,895.54,609.0,290.5,290.5,false
1844-07-28,2.9842,bavarian_foot,870.97,631.5,298.5,298.5,false
1844-07-29,3.1105,bavarian_foot,907.83,654.0,286.5,286.5,false
1844-07-30,3.4737,bavarian_foot,1013.82,676.5,252.0,252.0,false
1844-07-31,3.3895,bavarian_foot,989.25,698.5,260.0,260.0,false
