x_key,value_native,native_unit,value_mm,pixel_x_page,pixel_y_page,pixel_y_corrected,flagged
1872-08-01,1.5737,mm,1.57,27.0,392.5,392.5,false
1872-08-02,1.9421,mm,1.94,49.5,357.5,357.5,false
1872-08-03,2.5789,mm,2.58,72.0,297.0,297.0,false
1872-08-04,3.0263,mm,3.03,94.5,254.5,254.5,false
1872-08-05,3.3474,mm,3.35,116.5,224.0,224.0,false
1872-08-06,4.0842,mm,4.08,139.0,154.0,154.0,false
1872-08-07,4.4632,mm,4.46,161.5,118.0,118.0,false
1872-08-08,4.2368,mm,4.24,184.0,139.5,139.5,false
1872-08-09,3.7947,mm,3.79,206.0,181.5,181.5,false
1872-08-10,3.8421,mm,3.84,228.5,177.0,177.0,false
1872-08-11,4.1421,mm,4.14,251.0,148.5,148.5,false
1872-08-12,4.5105,mm,4.51,273.5,113.5,113.5,false
1872-08-13,4.4316,mm,4.43,296.0,121.0,121.0,false
1872-08-14,4.0579,mm,4.06,318.0,156.5,156.5,false
1872-08-15,3.5631,mm,3.56,340.5,203.5,203.5,false
1872-08-16,3.1842,mm,3.18,363.0,239.5,239.5,false
1872-08-17,2.8421,mm,2.84,385.5,272.0,272.0,false
1872-08-18,2.6000,mm,2.60,407.5,295.0,295.0,false
1872-08-19,2.3158,mm,2.32,430.0,322.0,322.0,false
1872-08-20,2.0263,mm,2.03,452.5,349.5,349.5,false
1872-08-21,1.8000,mm,1.80,475.0,371.0,371.0,false
1872-08-22,1.6474,mm,1.65,497.5,385.5,385.5,false
1872-08-23,1.6263,mm,1.63,519.5,387.5,387.5,false
1872-08-24,1.7579,mm,1.76,542.0,375.0,375.0,false
1872-08-25,1.8947,mm,1.89,564.5,362.0,362.0,false
1872-08-26,2.0210,mm,2.02,587.0,350.0,350.0,false
1872-08-27,2.4526,mm,2.45,609.0,309.0,309.0,false
1872-08-28,2.5737,mm,2.57,631.5,297.5,297.5,false
1872-08-29,2.5684,mm,2.57,654.0,298.0,298.0,false
1872-08-30,2.7316,mm,2.73,676.5,282.5,282.5,false
1872-08-31,3.1158,mm,3.12,698.5,246.0,246.0,false
