x_key,value_native,native_unit,value_mm,pixel_x_page,pixel_y_page,pixel_y_corrected,flagged
1848-03-01,6.0184,bavarian_foot,1756.53,27.5,384.5,384.5,false
1848-03-02,6.9113,bavarian_foot,2017.11,50.0,302.0,302.0,false
1848-03-03,6.7543,bavarian_foot,1971.31,72.5,316.5,316.5,false
1848-03-04,6.3323,bavarian_foot,1848.13,95.5,355.5,355.5,false
1848-03-05,6.0076,bavarian_foot,1753.37,118.0,385.5,385.5,false
1848-03-06,5.6504,bavarian_foot,1649.13,140.5,418.5,418.5,false
1848-03-07,5.3528,bavarian_foot,1562.27,163.5,446.0,446.0,false
1848-03-08,5.1255,bavarian_foot,1495.94,186.0,467.0,467.0,false
1848-03-09,4.9307,bavarian_foot,1439.08,205.5,485.0,485.0,false
1848-03-10,5.0011,bavarian_foot,1459.61,231.0,478.5,478.5,false
1848-03-11,5.3853,bavarian_foot,1571.74,254.0,443.0,443.0,false
1848-03-12,6.1591,bavarian_foot,1797.59,276.5,371.5,371.5,false
1848-03-13,7.1061,bavarian_foot,2073.97,299.0,284.0,284.0,false
1848-03-14,7.3333,bavarian_foot,2140.30,322.0,263.0,263.0,false
1848-03-15,7.0682,bavarian_foot,2062.91,344.5,287.5,287.5,false
1848-03-16,6.7597,bavarian_foot,1972.89,367.0,316.0,316.0,false
1848-03-17,6.8139,bavarian_foot,1988.69,389.5,311.0,311.0,false
1848-03-18,7.0141,bavarian_foot,2047.12,412.5,292.5,292.5,false
1848-03-19,7.0141,bavarian_foot,2047.12,435.0,292.5,292.5,false
1848-03-20,6.7760,bavarian_foot,1977.63,457.5,314.5,314.5,false
1848-03-21,6.4892,bavarian_foot,1893.93,480.5,341.0,341.0,false
1848-03-22,6.2511,bavarian_foot,1824.44,503.0,363.0,363.0,false
1848-03-23,6.0833,bavarian_foot,1775.48,525.5,378.5,378.5,false
1848-03-24,6.2186,bavarian_foot,1814.96,548.0,366.0,366.0,false
1848-03-25,6.7327,bavarian_foot,1965.00,571.0,318.5,318.5,false
1848-03-26,7.0952,bavarian_foot,2070.81,593.5,285.0,285.0,false
1848-03-27,7.1331,bavarian_foot,2081.87,616.0,281.5,281.5,false
1848-03-28,7.0628,bavarian_foot,2061.33,639.0,288.0,288.0,false
1848-03-29,7.0357,bavarian_foot,2053.44,661.5,290.5,290.5,false
1848-03-30,6.9600,bavarian_foot,2031.33,684.0,297.5,297.5,false
1848-03-31,6.6840,bavarian_foot,1950.78,695.0,323.0,323.0,false
