x_key,value_native,native_unit,value_mm,pixel_x_page,pixel_y_page,pixel_y_corrected,flagged
1871-04-01,2.7763,bavarian_foot,810.27,27.5,851.5,851.5,false
1871-04-02,2.7277,bavarian_foot,796.11,50.0,856.0,856.0,false
1871-04-03,2.6684,bavarian_foot,778.81,73.0,861.5,861.5,false
1871-04-04,2.7601,bavarian_foot,805.55,95.5,853.0,853.0,false
1871-04-05,2.8248,bavarian_foot,824.44,118.0,847.0,847.0,false
1871-04-06,2.8463,bavarian_foot,830.73,141.0,845.0,845.0,false
1871-04-07,2.7870,bavarian_foot,813.42,163.5,850.5,850.5,false
1871-04-08,2.6469,bavarian_foot,772.51,186.5,863.5,863.5,false
1871-04-09,2.5984,bavarian_foot,758.35,209.0,868.0,868.0,false
1871-04-10,2.7008,bavarian_foot,788.25,231.5,858.5,858.5,false
1871-04-11,2.9110,bavarian_foot,849.61,254.5,839.0,839.0,false
1871-04-12,2.9757,bavarian_foot,868.49,277.0,833.0,833.0,false
1871-04-13,3.0242,bavarian_foot,882.65,300.0,828.5,828.5,false
1871-04-14,3.2075,bavarian_foot,936.14,322.5,811.5,811.5,false
1871-04-15,3.2776,bavarian_foot,956.60,345.0,805.0,805.0,false
1871-04-16,3.2776,bavarian_foot,956.60,368.0,805.0,805.0,false
1871-04-17,3.4555,bavarian_foot,1008.52,390.5,788.5,788.5,false
1871-04-18,3.9407,bavarian_foot,1150.12,413.5,743.5,743.5,false
1871-04-19,4.1725,bavarian_foot,1217.77,436.0,722.0,722.0,false
1871-04-20,4.3126,bavarian_foot,1258.68,458.5,709.0,709.0,false
1871-04-21,4.4636,bavarian_foot,1302.74,481.5,695.0,695.0,false
1871-04-22,4.6091,bavarian_foot,1345.22,504.0,681.5,681.5,false
1871-04-23,6.3126,bavarian_foot,1842.40,527.0,523.5,523.5,false
1871-04-24,9.0943,bavarian_foot,2654.25,549.5,265.5,265.5,false
1871-04-25,8.8248,bavarian_foot,2575.58,572.0,290.5,290.5,false
1871-04-26,6.2965,bavarian_foot,1837.68,595.0,525.0,525.0,false
1871-04-27,5.4339,bavarian_foot,1585.94,617.5,605.0,605.0,false
1871-04-28,4.9272,bavarian_foot,1438.05,640.5,652.0,652.0,false
1871-04-29,4.8895,bavarian_foot,1427.03,663.0,655.5,655.5,false
1871-04-30,4.8248,bavarian_foot,1408.15,685.5,661.5,661.5,false
